2025-09-17 18:29:29 | ERROR | Error managing topic 'buzzline': [Error 36] TopicAlreadyExistsError: Request 'CreateTopicsRequest_v3(create_topic_requests=[(topic='buzzline', num_partitions=1, replication_factor=1, replica_assignment=[], configs=[])], timeout=30000, validate_only=False)' failed with response 'CreateTopicsResponse_v3(throttle_time_ms=0, topic_errors=[(topic='buzzline', error_code=36, error_message="Topic 'buzzline' is marked for deletion.")])'.
2025-09-17 18:44:57 | INFO | Logging to file: logs/project_log.log
2025-09-17 18:44:57 | INFO | Log sanitization enabled, personal info removed
2025-09-17 18:44:57 | INFO | KAFKA_BROKER_ADDRESS: 172.21.223.52:9092
2025-09-17 18:44:57 | INFO | BUZZ_TOPIC: buzzline_v2
2025-09-17 18:44:57 | INFO | BUZZ_CONSUMER_GROUP_ID: buzz_group
2025-09-17 18:47:32 | INFO | Logging to file: logs/project_log.log
2025-09-17 18:47:32 | INFO | Log sanitization enabled, personal info removed
2025-09-17 18:47:32 | INFO | Starting Producer to run continuously.
2025-09-17 18:47:32 | INFO | Use Ctrl+C to stop.
2025-09-17 18:47:32 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-17 18:47:32 | INFO | BUZZ_TOPIC: buzzline_v2
2025-09-17 18:47:32 | INFO | KAFKA_BROKER_ADDRESS: 172.21.223.52:9092
2025-09-17 18:47:32 | INFO | BASE_DATA_DIR: ~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data
2025-09-17 18:47:32 | INFO | LIVE_DATA_PATH: ~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/project_live.json
2025-09-17 18:47:32 | INFO | BASE_DATA_DIR: ~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data
2025-09-17 18:47:32 | INFO | SQLITE_PATH: ~/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite
2025-09-17 18:47:32 | INFO | KAFKA_BROKER_ADDRESS: 172.21.223.52:9092
2025-09-17 18:47:32 | INFO | Kafka broker address: 172.21.223.52:9092
2025-09-17 18:47:32 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 0, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'FHNyXbK_SLiQbQDBbUOaqg', 'controller_id': 0}
2025-09-17 18:47:32 | INFO | Kafka producer connected to 172.21.223.52:9092
2025-09-17 18:47:32 | INFO | KAFKA_BROKER_ADDRESS: 172.21.223.52:9092
2025-09-17 18:47:32 | INFO | Kafka broker address: 172.21.223.52:9092
2025-09-17 18:47:32 | INFO | Topic 'buzzline_v2' already exists. Recreating fresh...
2025-09-17 18:47:32 | INFO | Requested deletion of topic 'buzzline_v2'.
